Date,Value
2015-08-31,280400.0
2015-07-31,280500.0
2015-06-30,280500.0
2015-05-31,278000.0
2015-04-30,279300.0
2015-03-31,277800.0
2015-02-28,276000.0
2015-01-31,274400.0
2014-12-31,273200.0
2014-11-30,272900.0
2014-10-31,273300.0
2014-09-30,273100.0
2014-08-31,272600.0
2014-07-31,271600.0
2014-06-30,270900.0
2014-05-31,270400.0
2014-04-30,269200.0
2014-03-31,267400.0
2014-02-28,266300.0
2014-01-31,264800.0
2013-12-31,262700.0
2013-11-30,260800.0
2013-10-31,258400.0
2013-09-30,255700.0
2013-08-31,254600.0
2013-07-31,254700.0
2013-06-30,254700.0
2013-05-31,254000.0
2013-04-30,253700.0
2013-03-31,253000.0
2013-02-28,252100.0
2013-01-31,251000.0
2012-12-31,249800.0
2012-11-30,248500.0
2012-10-31,247500.0
2012-09-30,246800.0
2012-08-31,245500.0
2012-07-31,244000.0
2012-06-30,242900.0
2012-05-31,242800.0
2012-04-30,244100.0
2012-03-31,246600.0
2012-02-29,248800.0
2012-01-31,249500.0
2011-12-31,250300.0
2011-11-30,251200.0
2011-10-31,251500.0
2011-09-30,252100.0
2011-08-31,253700.0
2011-07-31,254600.0
2011-06-30,254400.0
2011-05-31,254300.0
2011-04-30,254900.0
2011-03-31,256500.0
2011-02-28,258000.0
2011-01-31,259500.0
2010-12-31,260700.0
2010-11-30,261500.0
2010-10-31,262600.0
2010-09-30,264600.0
2010-08-31,266300.0
2010-07-31,268500.0
2010-06-30,271100.0
2010-05-31,273500.0
2010-04-30,275000.0
2010-03-31,275100.0
2010-02-28,274700.0
2010-01-31,274900.0
2009-12-31,274800.0
2009-11-30,273100.0
2009-10-31,270400.0
2009-09-30,269000.0
2009-08-31,269000.0
2009-07-31,268800.0
2009-06-30,267000.0
2009-05-31,265000.0
2009-04-30,263600.0
2009-03-31,264300.0
2009-02-28,268000.0
2009-01-31,273600.0
2008-12-31,279500.0
2008-11-30,284000.0
2008-10-31,286800.0
2008-09-30,288600.0
2008-08-31,289600.0
2008-07-31,290300.0
2008-06-30,292200.0
2008-05-31,295200.0
2008-04-30,298700.0
2008-03-31,302100.0
2008-02-29,304700.0
2008-01-31,306000.0
2007-12-31,306000.0
2007-11-30,306300.0
2007-10-31,307900.0
2007-09-30,310000.0
2007-08-31,312900.0
2007-07-31,315500.0
2007-06-30,316300.0
2007-05-31,315500.0
2007-04-30,314600.0
2007-03-31,313600.0
2007-02-28,312500.0
2007-01-31,311800.0
2006-12-31,312400.0
2006-11-30,314400.0
2006-10-31,317000.0
2006-09-30,319300.0
2006-08-31,319800.0
2006-07-31,318500.0
2006-06-30,318100.0
2006-05-31,319900.0
2006-04-30,321300.0
2006-03-31,321000.0
2006-02-28,319400.0
2006-01-31,317800.0
2005-12-31,316800.0
2005-11-30,317500.0
2005-10-31,318100.0
2005-09-30,317200.0
2005-08-31,315000.0
2005-07-31,314700.0
2005-06-30,315500.0
2005-05-31,315700.0
2005-04-30,314600.0
2005-03-31,313600.0
2005-02-28,312500.0
2005-01-31,310600.0
2004-12-31,307900.0
2004-11-30,305800.0
2004-10-31,304300.0
2004-09-30,302700.0
2004-08-31,300700.0
2004-07-31,298100.0
2004-06-30,295300.0
2004-05-31,292100.0
2004-04-30,288600.0
2004-03-31,285300.0
2004-02-29,282500.0
2004-01-31,279900.0
2003-12-31,277900.0
2003-11-30,276200.0
2003-10-31,274200.0
2003-09-30,272100.0
2003-08-31,270600.0
2003-07-31,269000.0
2003-06-30,267500.0
2003-05-31,265900.0
2003-04-30,263800.0
2003-03-31,260900.0
2003-02-28,257900.0
2003-01-31,255700.0
2002-12-31,253700.0
